,grid_id,grid_lon_min,grid_lat_min,grid_lon_max,grid_lat_max,医疗,购物,餐饮,科教,摩托,公司,生活,汽车,体育,住宿
0,1,116.8315,36.71129734099892,116.84946622349985,36.72926356449874,11,47,63,4,0,1,19,3,1,7
1,2,116.8315,36.72926356449874,116.84946622349985,36.74722978799856,5,15,12,0,1,0,8,3,0,0
2,3,116.84946622349985,36.6035,116.86743244699966,36.621466223499816,1,25,25,2,0,0,13,5,1,0
3,4,116.84946622349985,36.621466223499816,116.86743244699966,36.63943244699964,15,76,71,7,3,0,36,3,3,5
4,5,116.84946622349985,36.63943244699964,116.86743244699966,36.657398670499454,6,11,11,3,0,0,10,2,3,0
5,6,116.90336489399928,36.6035,116.92133111749912,36.621466223499816,10,26,34,2,0,0,10,0,2,0
6,7,116.90336489399928,36.63943244699964,116.92133111749912,36.657398670499454,3,19,16,2,0,0,6,3,0,0
7,8,116.90336489399928,36.65739867049946,116.92133111749912,36.67536489399928,16,43,28,1,0,0,14,3,1,1
8,9,116.90336489399928,36.67536489399928,116.92133111749912,36.6933311174991,16,43,34,4,1,0,26,1,2,0
9,10,116.90336489399928,36.6933311174991,116.92133111749912,36.71129734099892,25,83,83,10,0,0,27,3,2,38
10,11,116.90336489399928,36.71129734099892,116.92133111749912,36.72926356449874,13,39,11,1,0,0,20,0,0,6
11,12,116.90336489399928,36.72926356449874,116.92133111749912,36.74722978799856,1,20,23,4,0,0,7,1,1,0
12,13,116.92133111749912,36.67536489399928,116.93929734099892,36.6933311174991,5,13,9,0,0,0,6,2,1,0
13,14,116.95726356449876,36.65739867049946,116.97522978799856,36.67536489399928,3,16,16,0,0,0,2,0,0,1
14,15,116.95726356449876,36.6933311174991,116.97522978799856,36.71129734099892,8,26,24,1,0,1,9,3,1,27
15,16,116.95726356449876,36.71129734099892,116.97522978799856,36.72926356449874,11,82,64,0,0,2,21,3,4,24
16,17,116.95726356449876,36.72926356449874,116.97522978799856,36.74722978799856,16,39,34,0,0,0,17,2,1,5
17,18,116.97522978799856,36.6035,116.9931960114984,36.621466223499816,19,41,29,4,0,0,15,3,0,2
18,19,116.97522978799856,36.621466223499816,116.9931960114984,36.63943244699964,20,101,101,13,0,0,56,1,6,7
19,20,116.97522978799856,36.63943244699964,116.9931960114984,36.657398670499454,14,52,32,6,0,0,20,3,0,4
20,21,116.97522978799856,36.65739867049946,116.9931960114984,36.67536489399928,11,94,62,3,2,0,31,2,4,4
21,22,116.97522978799856,36.67536489399928,116.9931960114984,36.6933311174991,11,34,42,4,0,0,25,3,3,28
22,23,116.97522978799856,36.6933311174991,116.9931960114984,36.71129734099892,15,47,81,9,0,0,36,1,2,9
23,24,116.97522978799856,36.71129734099892,116.9931960114984,36.72926356449874,7,35,12,5,0,0,22,1,1,67
24,25,116.97522978799856,36.72926356449874,116.9931960114984,36.74722978799856,16,97,79,7,0,0,42,3,5,2
25,26,116.99319601149838,36.6035,117.0111622349982,36.621466223499816,6,34,26,5,0,0,28,4,4,1
26,27,116.99319601149838,36.621466223499816,117.0111622349982,36.63943244699964,7,47,17,0,0,0,12,2,2,0
27,28,116.99319601149838,36.63943244699964,117.0111622349982,36.657398670499454,11,42,48,8,0,0,29,3,3,4
28,29,116.99319601149838,36.65739867049946,117.0111622349982,36.67536489399928,18,56,56,6,2,0,40,3,6,0
29,30,116.99319601149838,36.67536489399928,117.0111622349982,36.6933311174991,5,14,13,0,0,0,9,1,0,0
30,31,116.99319601149838,36.6933311174991,117.0111622349982,36.71129734099892,2,14,14,0,0,0,5,1,0,5
31,32,117.02912845849804,36.63943244699964,117.04709468199786,36.657398670499454,11,64,78,1,0,0,14,7,3,54
32,33,117.02912845849804,36.65739867049946,117.04709468199786,36.67536489399928,6,27,20,1,0,0,14,3,3,8
33,34,117.02912845849804,36.67536489399928,117.04709468199786,36.6933311174991,6,30,38,2,0,0,15,3,0,10
