brand_name,brand_type,longitude_list,latitude_list,grid_id_list
四季啤酒屋,体育休闲服务;娱乐场所;酒吧,"[116.928274525344, 117.043320008084, 116.9422963244636, 117.0778221078006]","[36.69774403270743, 36.69430636057923, 36.69940378336072, 36.65480559942927]","[71, 77, 72, 25]"
携程旅游,生活服务;生活服务场所;生活服务场所,"[117.0099652551294, 117.0083278100292, 116.9029874347601, 117.1258233788835, 117.1318264911793, 117.130692205233, 117.0276045368049, 116.9643505011395, 117.0700358356303, 116.9762270603227, 117.0415532841417]","[36.61515271727929, 36.64534980906663, 36.67805564190155, 36.65345336291342, 36.66021335891504, 36.676643613408, 36.65479701387262, 36.65681312305596, 36.64246444489299, 36.61303461884545, 36.68037991342308]","[4, 21, 51, 28, 45, 64, 22, 19, 25, 3, 59]"
幸福时光KTV,体育休闲服务;娱乐场所;KTV,"[116.9786056408031, 116.9167728180969, 117.0098096139525, 116.9590453043534, 117.0495090946829]","[36.66161180954602, 36.65290255903322, 36.6710547488655, 36.67043566438539, 36.66060909605174]","[37, 16, 38, 36, 41]"
小电,生活服务;共享设备;充电宝,"[116.946966962845, 117.0165404020267, 117.0442775933112, 117.0251578749105, 117.0251360192659, 117.0703663502994, 116.9679460276465, 117.1241885471427, 117.0454510621802, 116.9908858098853, 117.0164047908445, 117.0595249194539, 117.1492552466137, 117.0387305279752, 117.0026990920988, 116.9833750721236, 117.0259239931365, 117.1239399242847, 116.9688828178708, 117.0047431014325, 116.9807610358491, 117.0817309886335]","[36.70479258447448, 36.66309812601193, 36.64531065644391, 36.66396584217707, 36.66344022296101, 36.67629346501127, 36.72221597591807, 36.65502138143246, 36.67928044322549, 36.66917117386832, 36.65574600192463, 36.68491232846421, 36.70537523707548, 36.65513173060003, 36.61779391991816, 36.68115049015188, 36.66329622415145, 36.69306744935307, 36.6628680099412, 36.61928189507721, 36.66546105430051, 36.70016712172751]","[72, 39, 23, 39, 39, 61, 89, 28, 59, 37, 22, 60, 83, 23, 4, 56, 39, 64, 36, 4, 37, 79]"
康明眼镜,购物服务;专卖店;眼镜店,"[117.1474925587893, 116.9899725033711, 117.0496668536213, 117.0009462913962, 116.9162896279549, 117.1410070518251]","[36.72060927039779, 36.69860146269658, 36.67619517995269, 36.67480000224907, 36.65303092587671, 36.73127828863626]","[98, 74, 60, 38, 16, 105]"
中财管道,购物服务;家居建材市场;建材五金市场,"[117.0334533368044, 116.9703254004627, 116.9880174777508, 116.9558548711589, 116.992987253108, 116.9364190460066, 117.143078283607, 116.9750794367394, 117.0050266022032, 117.0778553647915, 117.031448155798, 117.0102340663978, 116.9578983721978, 117.0242489307601, 117.039477183328, 117.0215823229305, 116.9612181682283, 116.9550518132942, 116.9431431740838, 116.9606835793541, 117.0478167565158]","[36.68642073855862, 36.7131882069229, 36.66762686110791, 36.71761468549576, 36.68152706900885, 36.68485510759297, 36.7221657010541, 36.716158675651, 36.70174365839906, 36.71288009941338, 36.70789597294158, 36.69540520391379, 36.69043405380769, 36.69456713613525, 36.68870724027503, 36.71320839471499, 36.70611753046003, 36.66261143837973, 36.71354397295313, 36.69362291074891, 36.70676831386894]","[59, 89, 37, 88, 56, 53, 98, 89, 75, 94, 77, 75, 55, 76, 59, 91, 73, 35, 88, 73, 78]"
美利达自行车,购物服务;专卖店;自行车专卖店,"[116.9524783955336, 116.9154449123776, 117.0606450771626, 117.2299536114407, 116.9908572113357, 117.0750930872932, 117.2280146835699, 117.1371797256954, 116.956813342363, 117.038657173431]","[36.67667890606948, 36.65417998169556, 36.73888578931914, 36.68444825883368, 36.65774427341513, 36.68036777295877, 36.72384491010683, 36.65061320002995, 36.64512170736571, 36.67791786120331]","[54, 16, 102, 68, 37, 61, 101, 29, 18, 59]"
酒快到,购物服务;专卖店;烟酒专卖店,"[117.1316969616346, 117.3016293700698, 117.0343191810293, 116.9759775287286, 117.1013689834804]","[36.65471352253594, 36.67943315359312, 36.67821879365496, 36.64535937215268, 36.685721602042]","[28, 70, 59, 20, 63]"
望京烧烤,餐饮服务;中餐厅;特色/地方风味餐厅,"[116.9464233558445, 117.0335236445724, 117.0455703904242, 117.218120082778, 116.9148782739088, 117.1755609416811]","[36.61671256380603, 36.68151265323061, 36.71683623281009, 36.70442907328825, 36.67787789073074, 36.67421657284811]","[1, 59, 92, 85, 52, 48]"
天姿佳人养生会所,生活服务;美容美发店;美容美发店,"[117.0463448584486, 117.1161108762417, 116.9989548076493, 117.0763991469164, 117.1361503824056, 116.9728829308795, 117.1266488519018, 117.0328677773184, 117.0092178127125, 117.0900992786574, 117.0607090364905, 117.0086438997376, 116.9947684244306, 117.0489022657594, 117.1154829053962, 117.1528697017799, 117.0005573610376]","[36.63970381692242, 36.6817281109689, 36.61367665683583, 36.68044675515707, 36.64979510141021, 36.64971269967124, 36.71770499737816, 36.65717529248845, 36.64722204614932, 36.64070153302497, 36.67715249269942, 36.61482981136413, 36.66408845012317, 36.65702142584608, 36.6433060581017, 36.65062086190928, 36.64469757141082]","[23, 63, 4, 61, 28, 19, 97, 23, 21, 26, 60, 4, 38, 24, 27, 29, 21]"
金牛地暖,购物服务;家居建材市场;建材五金市场,"[116.9188631509634, 117.0305335952395, 117.0291918211179, 116.9052537394557]","[36.64321634229618, 36.7072416824354, 36.72271503160524, 36.65411155508159]","[16, 77, 92, 16]"
酷乐潮玩,购物服务;专卖店;礼品饰品店,"[116.9721699032753, 117.0482194633698, 117.0136592723555, 117.1902190921656, 117.0948616269048, 117.1266369407702]","[36.64941991449604, 36.71636432711131, 36.66355611537671, 36.67160795479577, 36.65876667837801, 36.71682355553605]","[19, 93, 39, 48, 43, 97]"
腊汁肉夹馍,餐饮服务;快餐厅;快餐厅,"[116.9859465443848, 117.0242339582699, 117.0210709306949, 116.8495057493927]","[36.69383972657784, 36.66843855440345, 36.61117824311603, 36.63954089164671]","[74, 39, 5, 14]"
姚记炒货,购物服务;综合市场;果品市场,"[117.0060248410287, 117.0710167457263, 117.011185071879, 117.0452154961403, 116.9810095849147, 117.0301437431538, 117.0271061975366, 117.064899232296, 117.0386623282906, 116.9676900264808, 117.0719613712759]","[36.65263128956061, 36.68026635372593, 36.62430782435966, 36.71673601634868, 36.65095715639585, 36.71859930286583, 36.65685605858955, 36.69097228535706, 36.69390877576279, 36.65913160680599, 36.71279574605444]","[21, 61, 12, 92, 20, 92, 22, 60, 77, 36, 94]"
宜快宜慢,购物服务;专卖店;专营店,"[117.092683977859, 117.1286057020871, 117.1429962117599, 117.1183350482478, 117.0865550606159, 117.1308599051894, 116.9020149247511, 117.2118244662185, 117.098753602984, 117.1406802220772, 117.1388981580594, 117.1263607318344, 117.1384800734739, 117.1101203695906, 117.1502432249901, 117.1229103118794, 116.9732374768641, 117.1003301698488, 116.8884135551938, 117.137875339111, 117.1238846884656, 117.2184923367405]","[36.67324362714215, 36.67704649517984, 36.6607334610419, 36.65023869017974, 36.68357689355716, 36.67233052952832, 36.66319810988813, 36.6912420578103, 36.6920187511253, 36.66460826060669, 36.65960644965052, 36.65529393118981, 36.66376623872927, 36.6509070169101, 36.65907501, 36.6725301062289, 36.63151952761551, 36.66759551709279, 36.66624177448726, 36.66258700653123, 36.65991403366311, 36.66919861782869]","[43, 64, 46, 27, 62, 45, 32, 67, 62, 46, 46, 28, 46, 27, 46, 45, 9, 43, 32, 46, 45, 50]"
尚客优连锁酒店,住宿服务;宾馆酒店;经济型连锁酒店,"[116.9675425533524, 116.9518278992677, 117.0390267633992, 117.0200818738747, 117.0076860455039, 116.9749344389495, 117.0141223018543, 116.9982308724307, 117.0035568767705, 116.890486259167, 117.0443542684911, 117.1819695664578, 116.9270669027476, 117.0632868477799, 117.2308875200649, 116.9529777193217, 116.9866236949934, 116.9909386420257, 116.9888543032432, 116.9878682834246, 116.9859482227191]","[36.65970666297801, 36.6196917182389, 36.65308730295962, 36.65548981737138, 36.65868664789423, 36.65848946281536, 36.6639325455725, 36.60552351875801, 36.67570153987264, 36.68372549415441, 36.6810155971186, 36.70609201062528, 36.64633758138339, 36.65460888017346, 36.72185272274266, 36.67600114873741, 36.63025860716326, 36.65966085572034, 36.68135977774843, 36.71099389932768, 36.68769461336592]","[36, 1, 23, 22, 38, 36, 39, 4, 57, 51, 59, 84, 17, 24, 101, 54, 10, 37, 56, 74, 56]"
老长沙臭豆腐,餐饮服务;快餐厅;快餐厅,"[116.9755190502018, 117.1036560383181, 117.0171914984657, 117.0612901364801, 117.0261142344335]","[36.64896553914628, 36.66780576205976, 36.66517400248744, 36.69076312694379, 36.66353457631577]","[20, 44, 39, 60, 39]"
诚励书画教育,科教文化服务;培训机构;培训机构,"[116.9809695828566, 116.9699088192386, 116.9494773935468, 116.9835815767187, 116.971355760031]","[36.66151485447309, 36.63428934941741, 36.6246572258396, 36.68658645287341, 36.65381757150483]","[37, 9, 8, 56, 19]"
遇见,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,"[116.9282355602395, 116.9843066733595, 116.9061946346775, 117.0057427106987]","[36.69826575580488, 36.67559215800451, 36.67335234675949, 36.69118623720417]","[71, 56, 33, 57]"
回力,购物服务;体育用品店;体育用品店,"[116.9989588002296, 116.9539373422429, 116.9433981476922, 117.0859520732241, 116.9705313847328, 117.0839188376773, 117.2271371223056, 117.0254229570763, 117.043989503008, 117.025767685989, 117.0583111090704, 117.0669129940333, 117.0496753315797, 116.9850920350103, 116.9260300278913, 117.0058693314643, 117.1916964581728, 117.0603268175557, 116.9168140342238, 117.1994059625946, 117.2160361199588, 116.9339082851314, 116.9639172182012, 117.1352230252733, 116.9788523948225, 116.9030318120251, 116.8912541732915, 117.0075811501575, 116.8499282768029, 116.990572225717, 117.0250212969371, 116.9752173930976, 116.9440813493392, 117.0169595870375, 117.0744391251105, 117.0999258266577, 116.9280136806388, 116.9157683579313, 117.1805662869881, 117.0347927429041, 116.9800290786707, 117.1018182633168, 117.1037070399364]","[36.61358769578717, 36.63024556717973, 36.64243680190771, 36.6967537163789, 36.66055480181211, 36.68103631167473, 36.72650764357438, 36.68061681111107, 36.67149328511098, 36.71524679787533, 36.68258659157839, 36.70096254299845, 36.71539020969799, 36.69572111308463, 36.70363937772344, 36.68972278429177, 36.67097776327135, 36.73888324208188, 36.67799609537063, 36.68512483399844, 36.69948925046453, 36.66243335463918, 36.68380059136533, 36.72881578606334, 36.65439547917114, 36.67416904751176, 36.62677321869411, 36.62620637011798, 36.64030610761876, 36.65979089373309, 36.66490962553112, 36.71135639019775, 36.67603389763588, 36.66394441561049, 36.65402652191224, 36.72297415988969, 36.637432565998, 36.65436358623558, 36.71358766621392, 36.71989603208681, 36.71115437994421, 36.70041445442924, 36.66781578048226]","[4, 8, 18, 80, 36, 62, 101, 58, 40, 91, 60, 79, 93, 74, 71, 57, 49, 102, 52, 66, 85, 34, 55, 97, 20, 32, 6, 11, 14, 37, 39, 89, 54, 39, 25, 95, 7, 16, 99, 92, 74, 81, 44]"
大益茶体验馆,购物服务;专卖店;专营店,"[117.1084034040767, 117.0590582056556, 117.1406500594034, 116.8983066718258, 117.0185628158546]","[36.68038468149425, 36.68341795331818, 36.64820018837295, 36.66463990133048, 36.6571840258769]","[63, 60, 29, 32, 22]"
万家乐,购物服务;家居建材市场;厨卫市场,"[116.9692852495703, 116.9887609023079, 117.0354731586239, 117.1435370659686, 116.9065072302884, 116.95446970558]","[36.69852156445384, 36.67963714049051, 36.6689947724712, 36.72160983446081, 36.65528029601097, 36.6370102906919]","[73, 56, 40, 98, 16, 8]"
耐克,购物服务;体育用品店;耐克专卖店,"[117.0186390620362, 117.0263826520156, 117.116001780781, 117.122413351018, 117.1147483614743, 117.0492475622124, 116.9983843043522, 116.9972538058133, 116.9161800042503, 116.9765554778953, 117.127352555224, 117.2260298005023, 117.1230979893917, 116.9971602176875, 117.1045560974811, 117.024396751843, 117.0088355310502, 116.9724437371469, 117.0550879972306, 116.9032016358097, 116.9160559739414, 117.0170801005807, 117.0937890146888, 117.1920298893958, 117.226583870803, 117.0331356784902, 116.9754594480321, 116.97623406201, 117.0705286705608]","[36.66110941554867, 36.6595932835172, 36.68194687005878, 36.68558436801666, 36.64419185369638, 36.71543897770329, 36.61356445894805, 36.66201513418236, 36.71596748662904, 36.6329360760245, 36.71822757243297, 36.69084895122896, 36.6855332035719, 36.66198343910406, 36.66788516267376, 36.6646674414239, 36.64639267670584, 36.64976692351468, 36.70213627300069, 36.67430990660824, 36.6534718700636, 36.66388211207884, 36.65948414489206, 36.67167986866734, 36.69193561660273, 36.6583479235701, 36.67469695575876, 36.61275375956387, 36.65363423483959]","[39, 39, 63, 64, 27, 93, 4, 38, 86, 10, 97, 67, 64, 38, 44, 39, 21, 19, 78, 32, 16, 39, 43, 49, 67, 40, 37, 3, 25]"
蒙娜丽莎瓷砖,购物服务;家居建材市场;建材五金市场,"[116.9697354482445, 117.0799549730351, 117.0142573633807]","[36.6983044418793, 36.68395930660325, 36.68495008763443]","[73, 61, 58]"
多乐士,购物服务;家居建材市场;建材五金市场,"[117.0048625446696, 117.0201668922279, 116.905730244909, 117.0150421136315, 117.031908913191, 117.180885877352, 117.0300687527591]","[36.67301927512558, 36.71401977196341, 36.65391847134149, 36.68489486346367, 36.70403031781679, 36.72203374031714, 36.70341931310545]","[38, 91, 16, 58, 77, 99, 77]"
碧丽姿BERICH,生活服务;美容美发店;美容美发店,"[117.048066925862, 117.1195205073442, 117.025566832904, 117.077232023673, 117.1283666283403, 116.9806355117895, 117.0929637775551, 117.1013551345688, 117.08448127404, 116.9800095782482, 116.9767232852414, 117.0449114123598, 116.9829272076644, 117.13742723684, 116.9708254630654, 117.0038098144163]","[36.6552031250046, 36.68887506330961, 36.65041401033637, 36.65391153193013, 36.64923922326373, 36.67500052657363, 36.67371733968521, 36.68442041536204, 36.68104410469785, 36.63542642188435, 36.63733198362282, 36.64710427759253, 36.68826835757346, 36.64049465488803, 36.64898699334292, 36.62204909963519]","[24, 64, 22, 25, 28, 37, 43, 63, 62, 10, 10, 23, 56, 29, 19, 11]"
和瑞秘方排骨,餐饮服务;中餐厅;中餐厅,"[117.0126100471386, 117.0372857980133, 116.9255347925265, 117.0929688698437, 117.1357513060428, 117.0292818430024, 117.0328676471134, 116.9431685539047, 117.1134284077459, 117.0092101052613, 117.1400517400372, 116.9484415491319, 117.0697647833374, 116.9901253502901, 116.9506098183853, 116.9727991688095, 117.0496329343021, 116.9704398039986, 116.9896463032881, 116.9810856567808, 116.9905622932376, 117.049352793716, 116.9991476928716, 117.1251838238718, 116.9938783159288, 117.0560034957722]","[36.62465645702637, 36.70459509044775, 36.71591910603075, 36.67289485043641, 36.6630944031987, 36.6581166788992, 36.71968881998664, 36.66357347114488, 36.68082025010692, 36.68924813356658, 36.65190698079142, 36.71892419952847, 36.70795398758219, 36.69400992238338, 36.61304636730321, 36.65972786026293, 36.6588929134971, 36.65108981331612, 36.65942094154176, 36.68336395684529, 36.70429801548988, 36.65844970730574, 36.68746853174967, 36.6699404676125, 36.64617804764127, 36.70331502894584]","[12, 77, 87, 43, 45, 40, 92, 35, 63, 57, 29, 88, 79, 74, 1, 36, 41, 19, 37, 56, 74, 41, 57, 45, 21, 78]"
驰加汽车服务中心,汽车服务;汽车配件销售;汽车配件销售,"[116.9436001696705, 117.0358466696419, 117.2138486733905, 116.9410343126805, 116.9412874383421, 117.1315390020205, 117.1552566840062, 117.0425662310161, 117.0645562955679, 117.090798707463, 116.9724004698628, 117.0124863279708, 117.0995512311278, 117.1058359591972]","[36.6639783416605, 36.71436213562762, 36.70534426039717, 36.67036354280742, 36.67141439673793, 36.65265354567848, 36.65233017725289, 36.72210502188674, 36.68797560355119, 36.67639671065317, 36.68090290071871, 36.61789174609537, 36.69399473260964, 36.67920482948092]","[35, 92, 85, 35, 35, 28, 30, 92, 60, 62, 55, 5, 80, 63]"
拾味中点,餐饮服务;糕饼店;糕饼店,"[117.0188095850372, 116.9788837637462, 117.0741624762045, 117.0666442391528, 117.1026180267581, 117.0491826372512, 116.9932921810001]","[36.65921809367573, 36.67689154638001, 36.6720896671024, 36.6860962931432, 36.66766637028639, 36.68156772819832, 36.66133164960905]","[39, 56, 42, 61, 44, 60, 38]"
中晟明德跆拳道,体育休闲服务;运动场馆;跆拳道场馆,"[117.0033829665218, 117.0741186, 117.0047976875999, 116.9418476652351, 117.293367321556, 117.1274092361759, 116.9394721020138, 116.8981061113122]","[36.61929798373408, 36.67998878284022, 36.67423171694183, 36.69963852737506, 36.68245723153186, 36.7302048015772, 36.62289405127689, 36.62463587083898]","[4, 61, 38, 72, 69, 104, 8, 6]"
小猪用户民宿,住宿服务;住宿服务相关;住宿服务相关,"[116.95020516603, 117.101240244456, 116.9964431871402, 116.9992727369941, 116.9029914166146, 116.9993424602254, 116.9964431871402, 116.9996013050372, 117.101240244456, 117.101240244456, 117.101240244456, 116.9029914166146, 116.9029734255636, 116.9029914166146, 116.95020516603, 117.0998862490149, 117.101240244456, 116.9029914166146, 116.9029914166146, 116.9504752540118, 116.9504752540118, 116.9964431871402, 116.9964431871402]","[36.61333712576919, 36.66620170663833, 36.69016807109415, 36.67332000885871, 36.65035264170217, 36.67308094509504, 36.69016807109415, 36.67333300102353, 36.66620170663833, 36.66620170663833, 36.66620170663833, 36.65035264170217, 36.65042660262992, 36.65035264170217, 36.61333712576919, 36.66740948289445, 36.66620170663833, 36.65035264170217, 36.65035264170217, 36.61326455040713, 36.61326455040713, 36.69016807109415, 36.69016807109415]","[1, 44, 57, 38, 15, 38, 57, 38, 44, 44, 44, 15, 15, 15, 1, 43, 44, 15, 15, 1, 1, 57, 57]"
老重庆米线,餐饮服务;快餐厅;快餐厅,"[117.0793015503608, 117.0322651138479, 116.9192243841694, 116.9482670087313, 117.0328467006667, 116.9895178330663, 117.0782099110918, 117.0000913702819, 117.0012673032941, 117.0130332970264, 116.896781923751, 116.9627845835655, 116.8932596166716, 117.0265270165693, 116.9697264298013, 117.0241439881215]","[36.69475285189712, 36.67336681350536, 36.64414441416544, 36.6743749652418, 36.71112543570784, 36.65968916900494, 36.68667162971482, 36.66266609294695, 36.69787048841189, 36.66876572296392, 36.68061010242132, 36.68407743352513, 36.68122056459247, 36.66031746197049, 36.65357831378984, 36.65365184378606]","[79, 40, 16, 35, 77, 37, 61, 38, 75, 39, 51, 55, 51, 39, 19, 22]"
国锋练字,科教文化服务;培训机构;培训机构,"[117.0550715751017, 116.9402899347969, 117.0593144376658, 117.1031056893709]","[36.68007227824334, 36.67581560318312, 36.65865790784873, 36.68797691577203]","[60, 54, 41, 63]"
金利来男装,购物服务;服装鞋帽皮具店;品牌服装店,"[117.0167358521786, 117.0767508933048, 117.0087608412124, 117.0701163931005, 116.9990295492579, 117.0069801316992, 116.9732504624871, 117.1162099152171]","[36.66086893595723, 36.68695042120245, 36.64645985773837, 36.65374557373134, 36.61307877263588, 36.68470862534981, 36.64924792580023, 36.6819470682944]","[39, 61, 21, 25, 4, 57, 19, 63]"
肯德基,餐饮服务;快餐厅;肯德基,"[117.0583378490309, 117.0392975788107, 117.076469260723, 117.0502404270079, 116.9619756657929, 117.1926643145161, 117.1539475636792, 117.0578731272698, 117.0179912749461, 117.1940359042785, 117.0562630949016, 117.1233759686955, 117.1527304783123, 117.149766473873, 116.9876761375378, 117.025943849726, 117.00136207172, 117.0090895157396, 117.0678425926907, 116.9162068063702, 117.1393589853736, 117.0051474611691, 116.9756058309281, 116.9874848825808, 116.9162007718443, 117.0073356124321, 116.9031665296834, 116.984795501837, 116.9524667373814, 117.1039890714749, 117.021893159304, 116.984847112135, 117.0453638466585, 116.9423304547506, 117.12337126088, 117.0934881835904, 117.0654865574543, 117.0221181308715, 117.020224520269, 116.9991748347598, 117.0557462930117, 117.2184133957984, 116.9913388525878, 117.088873281391, 117.0313644585602, 117.0708021461978, 116.9769221594127, 117.0177147479878, 117.124711051726, 117.0560467840334, 117.0902247462155, 117.0381209618122, 117.0296513147305, 116.986568563442, 117.0162577683849, 117.0332582033527, 116.9717476940949, 116.9589617847531, 116.9890782891853, 117.0138913816939, 116.9719476179267, 117.1418345115294, 117.0431726640326, 116.9982762686935, 116.9851535893108, 116.9031816506408, 117.1156766200916, 117.0165340840456]","[36.68428148649392, 36.69050850270753, 36.68725642600281, 36.67430729359155, 36.64803874572199, 36.66763638917151, 36.74670355724984, 36.68306795474919, 36.66481396432415, 36.67172404490624, 36.68363411408451, 36.66193518699431, 36.65046370482576, 36.71961392276688, 36.7018803514493, 36.66388580985387, 36.66068444828439, 36.64582026810985, 36.68004274871389, 36.71737654620843, 36.65827399948413, 36.64508346964303, 36.67473450659668, 36.68474481439657, 36.6530879719485, 36.68468957685034, 36.67560411320876, 36.63121457341683, 36.61913254493444, 36.6676959922943, 36.65972824401555, 36.66864783397756, 36.64856048109755, 36.66060897770368, 36.68541260420438, 36.65926126310426, 36.73833483321249, 36.66974347311116, 36.60938160881581, 36.61381290872664, 36.70212420734186, 36.66820715814195, 36.66004839801054, 36.65684895682752, 36.65528315445206, 36.65399774904751, 36.63091119598519, 36.63524259019356, 36.67250729192215, 36.68244120925622, 36.64459619365218, 36.67817591784329, 36.70333642392304, 36.66948810871301, 36.66128704065017, 36.6586514399177, 36.64891941876903, 36.65070593893574, 36.64587087545301, 36.64517759678895, 36.69640140075186, 36.65119832429497, 36.66645610464001, 36.66271258919223, 36.67042081271089, 36.67434888874545, 36.68155181081961, 36.66613727615619]","[60, 59, 61, 41, 19, 49, 105, 60, 39, 49, 60, 45, 29, 98, 74, 39, 38, 21, 61, 86, 46, 21, 37, 56, 16, 57, 51, 10, 1, 44, 39, 37, 23, 35, 64, 43, 103, 39, 5, 4, 78, 50, 37, 26, 23, 25, 10, 12, 45, 60, 26, 59, 77, 37, 39, 40, 19, 19, 20, 22, 73, 29, 40, 38, 37, 32, 63, 39]"
天材教育,科教文化服务;培训机构;培训机构,"[117.0496786443687, 117.114663912558, 117.0209285049074, 116.9905330555812, 117.0330211955871, 116.9766263772661]","[36.67772420451342, 36.68237836084094, 36.66410421247174, 36.63597134783896, 36.64864708353829, 36.6311529195636]","[60, 63, 39, 10, 23, 10]"
吉祥馄饨,餐饮服务;快餐厅;快餐厅,"[116.985324984233, 117.2255365702521, 116.9073687201132, 117.0357349872345, 117.0158688960707, 117.1034054052334, 116.891418597688, 116.8908150814862, 117.0706533723609, 117.0750716690486, 117.1266928909718, 116.987773581661, 117.1018686586784]","[36.66919605228117, 36.6912603664659, 36.65071763861404, 36.6887438116935, 36.656629992825, 36.66452266347275, 36.62236382209841, 36.66599059258125, 36.7410454222393, 36.68427733682641, 36.71777600801684, 36.68515667855957, 36.68831316686902]","[37, 67, 16, 59, 22, 44, 6, 32, 103, 61, 97, 56, 63]"
龙湖天街民宿,住宿服务;住宿服务相关;住宿服务相关,"[117.1044110939717, 117.1044110939717, 117.1024150094824, 117.1044110939717, 117.1044110939717, 117.1044110939717]","[36.66779614294003, 36.66779614294003, 36.66782518404977, 36.66779614294003, 36.66779614294003, 36.66779614294003]","[44, 44, 44, 44, 44, 44]"
